#
# This file contains data for mapping from mapping from code page numbers to their preferred IANA encoding names
# and English names (we do not currently localize ProjectN libraries)
#
# This can be used as input to the EncodingData tool when generating EncodingTable.Data.cs
#
# Format:
#   - Fields in a mapping entry are semi-colon separated
#   - New mapping entries are delimited by a new line
#
20420;ibm420;IBM EBCDIC (Arabic)
20423;ibm423;IBM EBCDIC (Greek)
20424;ibm424;IBM EBCDIC (Hebrew)
20833;x-ebcdic-koreanextended;IBM EBCDIC (Korean Extended)
20838;ibm-thai;IBM EBCDIC (Thai)
20866;koi8-r;Cyrillic (KOI8-R)
20871;ibm871;IBM EBCDIC (Icelandic)
20880;ibm880;IBM EBCDIC (Cyrillic Russian)
20905;ibm905;IBM EBCDIC (Turkish)
20924;ibm00924;IBM Latin-1
20932;euc-jp;Japanese (JIS 0208-1990 and 0212-1990)
20936;x-cp20936;Chinese Simplified (GB2312-80)
20949;x-cp20949;Korean Wansung
21025;cp1025;IBM EBCDIC (Cyrillic Serbian-Bulgarian)
21866;koi8-u;Cyrillic (KOI8-U)
28592;iso-8859-2;Central European (ISO)
28593;iso-8859-3;Latin 3 (ISO)
28594;iso-8859-4;Baltic (ISO)
28595;iso-8859-5;Cyrillic (ISO)
28596;iso-8859-6;Arabic (ISO)
28597;iso-8859-7;Greek (ISO)
28598;iso-8859-8;Hebrew (ISO-Visual)
28599;iso-8859-9;Turkish (ISO)
28603;iso-8859-13;Estonian (ISO)
28605;iso-8859-15;Latin 9 (ISO)
29001;x-europa;Europa
38598;iso-8859-8-i;Hebrew (ISO-Logical)
50220;iso-2022-jp;Japanese (JIS)
50221;csiso2022jp;Japanese (JIS-Allow 1 byte Kana)
50222;iso-2022-jp;Japanese (JIS-Allow 1 byte Kana - SO/SI)
50225;iso-2022-kr;Korean (ISO)
50227;x-cp50227;Chinese Simplified (ISO-2022)
51932;euc-jp;Japanese (EUC)
51936;euc-cn;Chinese Simplified (EUC)
51949;euc-kr;Korean (EUC)
52936;hz-gb-2312;Chinese Simplified (HZ)
54936;gb18030;Chinese Simplified (GB18030)
57002;x-iscii-de;ISCII Devanagari
57003;x-iscii-be;ISCII Bengali
57004;x-iscii-ta;ISCII Tamil
57005;x-iscii-te;ISCII Telugu
57006;x-iscii-as;ISCII Assamese
57007;x-iscii-or;ISCII Oriya
57008;x-iscii-ka;ISCII Kannada
57009;x-iscii-ma;ISCII Malayalam
57010;x-iscii-gu;ISCII Gujarati
57011;x-iscii-pa;ISCII Punjabi
