#
# This file contains data for mapping from IANA encoding names to their corresponding code page numbers
#
# This can be used as input to the EncodingData tool when generating EncodingTable.Data.cs
#
# Format:
#   - Fields in a mapping entry are semi-colon separated
#   - New mapping entries are delimited by a new line
#
ebcdic-it-280+euro;1144
ebcdic-jp-kana;20290
ebcdic-latin9--euro;20924
ebcdic-no-277+euro;1142
ebcdic-se-278+euro;1143
ebcdic-us-37+euro;1140
ecma-114;28596
ecma-118;28597
elot_928;28597
euc-cn;51936
euc-jp;51932
euc-kr;51949
extended_unix_code_packed_format_for_japanese;51932
gb18030;54936
gb2312;936
gb2312-80;936
gb231280;936
gbk;936
gb_2312-80;936
german;20106
greek;28597
greek8;28597
hebrew;28598
hz-gb-2312;52936
ibm-thai;20838
ibm00858;858
ibm00924;20924
ibm01047;1047
ibm01140;1140
ibm01141;1141
ibm01142;1142
ibm01143;1143
ibm01144;1144
ibm01145;1145
ibm01146;1146
ibm01147;1147
ibm01148;1148
ibm01149;1149
ibm037;37
ibm1026;1026
ibm273;20273
ibm277;20277
ibm278;20278
ibm280;20280
ibm284;20284
ibm285;20285
ibm290;20290
ibm297;20297
ibm420;20420
ibm423;20423
ibm424;20424
ibm437;437
ibm500;500
ibm737;737
ibm775;775
ibm850;850
ibm852;852
ibm855;855
ibm857;857
ibm860;860
ibm861;861
ibm862;862
ibm863;863
ibm864;864
ibm865;865
ibm866;866
ibm869;869
ibm870;870
ibm871;20871
ibm880;20880
ibm905;20905
irv;20105
iso-2022-jp;50220
iso-2022-jpeuc;51932
iso-2022-kr;50225
iso-2022-kr-7;50225
iso-2022-kr-7bit;50225
iso-2022-kr-8;51949
iso-2022-kr-8bit;51949
iso-8859-11;874
iso-8859-13;28603
iso-8859-15;28605
iso-8859-2;28592
iso-8859-3;28593
iso-8859-4;28594
iso-8859-5;28595
iso-8859-6;28596
iso-8859-7;28597
iso-8859-8;28598
iso-8859-8 visual;28598
iso-8859-8-i;38598
iso-8859-9;28599
iso-ir-101;28592
iso-ir-109;28593
iso-ir-110;28594
iso-ir-126;28597
iso-ir-127;28596
iso-ir-138;28598
iso-ir-144;28595
iso-ir-148;28599
iso-ir-149;949
iso-ir-58;936
iso8859-2;28592
iso_8859-15;28605
iso_8859-2;28592
iso_8859-2:1987;28592
iso_8859-3;28593
iso_8859-3:1988;28593
iso_8859-4;28594
iso_8859-4:1988;28594
iso_8859-5;28595
iso_8859-5:1988;28595
iso_8859-6;28596
iso_8859-6:1987;28596
iso_8859-7;28597
iso_8859-7:1987;28597
iso_8859-8;28598
iso_8859-8:1988;28598
iso_8859-9;28599
iso_8859-9:1989;28599
johab;1361
koi;20866
koi8;20866
koi8-r;20866
koi8-ru;21866
koi8-u;21866
koi8r;20866
korean;949
ks-c-5601;949
ks-c5601;949
ksc5601;949
ksc_5601;949
ks_c_5601;949
ks_c_5601-1987;949
ks_c_5601-1989;949
ks_c_5601_1987;949
l2;28592
l3;28593
l4;28594
l5;28599
l9;28605
latin2;28592
latin3;28593
latin4;28594
latin5;28599
latin9;28605
logical;28598
macintosh;10000
ms_kanji;932
norwegian;20108
ns_4551-1;20108
pc-multilingual-850+euro;858
sen_850200_b;20107
shift-jis;932
shift_jis;932
sjis;932
swedish;20107
tis-620;874
visual;28598
windows-1250;1250
windows-1251;1251
windows-1252;1252
windows-1253;1253
windows-1254;1254
windows-1255;1255
windows-1256;1256
windows-1257;1257
windows-1258;1258
windows-874;874
x-ansi;1252
x-chinese-cns;20000
x-chinese-eten;20002
x-cp1250;1250
x-cp1251;1251
x-cp20001;20001
x-cp20003;20003
x-cp20004;20004
x-cp20005;20005
x-cp20261;20261
x-cp20269;20269
x-cp20936;20936
x-cp20949;20949
x-cp50227;50227
x-ebcdic-koreanextended;20833
x-euc;51932
x-euc-cn;51936
x-euc-jp;51932
x-europa;29001
x-ia5;20105
x-ia5-german;20106
x-ia5-norwegian;20108
x-ia5-swedish;20107
x-iscii-as;57006
x-iscii-be;57003
x-iscii-de;57002
x-iscii-gu;57010
x-iscii-ka;57008
x-iscii-ma;57009
x-iscii-or;57007
x-iscii-pa;57011
x-iscii-ta;57004
x-iscii-te;57005
x-mac-arabic;10004
x-mac-ce;10029
x-mac-chinesesimp;10008
x-mac-chinesetrad;10002
x-mac-croatian;10082
x-mac-cyrillic;10007
x-mac-greek;10006
x-mac-hebrew;10005
x-mac-icelandic;10079
x-mac-japanese;10001
x-mac-korean;10003
x-mac-romanian;10010
x-mac-thai;10021
x-mac-turkish;10081
x-mac-ukrainian;10017
x-ms-cp932;932
x-sjis;932
x-x-big5;950
